SMILES,CASRN,RECORDID,MOLECULEID,NAME,ARTICLEID,PAGE,TABLE,AMES,Dataset,Cell strain,S9 metabolic bioactivation,COMMENTS,INCHI_KEY
CCCN(CCC)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O,-,R277113,M14358,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZSDSQXJSNMTJDA-UHFFFAOYSA
OC(=O)C1=CC=CO1,-,R277114,M10486,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,SMNDYUVBFMFKNZ-UHFFFAOYSA
CC(=O)OON(=O)=O,-,R277115,M26615,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VGQXTTSVLMQFHM-UHFFFAOYSA
CC1=CC=CC=C1N=NC1=C(O)C=CC2=C1C=CC=C2,-,R277116,M27230,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BQFCCCIRTOLPEF-UHFFFAOYSA
O[C@@H]([C@H](COC(=O)CCC(O)=O)NC(=O)C(Cl)Cl)C1=CC=C(C=C1)N(=O)=O,-,R277117,M121235,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LIRCDOVJWUGTMW-GXFFZTMASA
CCOC(=O)CC(C)C,-,R277118,M8739,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PPXUHEORWJQRHJ-UHFFFAOYSA
COC1=NSC2=C1C=C(N)C=C2,-,R277119,M120661,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WQUWYGUELXRTCC-UHFFFAOYSA
CN(N=O)C(=N)NN(=O)=O,-,R277120,M17345,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VZUNGTLZRAYYDE-UHFFFAOYSA
O=C(C1OC1C1=CC=C(C=C1)N(=O)=O)C1=CC=CC=C1,-,R277121,M131142,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QGQILXBVXCHHOM-UHFFFAOYSA
O[C@@H]1[C@H]2O[C@H]2C2=CC3=C(C=CC4=C3C=CC=C4)C=C2[C@H]1O,-,R277122,M119807,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QMVDCUCAPJTHNE-VSZNYVQBSA
CC1=C2C3OC3C3=CC=CC=C3C2=NC2=C1C=C(CO)C=C2,-,R277123,M131143,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QZVGOOACZKWFBZ-UHFFFAOYSA
FC(F)(F)C1=CC=CC=C1,-,R277024,M3146,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GETTZEONDQJALK-UHFFFAOYSA
NC1=CC=CC=C1C(=O)OC1CCCCC1,-,R277025,M79151,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KFEZETDKFSMLMG-UHFFFAOYSA
CN1C(N=[N]#N)=NC2=C1C1=C(C=CC=C1)C=C2,-,R277026,M131122,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WOYLPIYYFXVRAN-UHFFFAOYSA
CC1(C)CC(N)CC(C)(C)N1O,-,R277027,M33374,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,AYSOUYKQIUYGFR-UHFFFAOYSA
ON1C(=O)CCC1=O,-,R277028,M76513,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NQTADLQHYWFPDB-UHFFFAOYSA
CCOC(=O)CC(C)=O,-,R277029,M19584,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XYIBRDXRRQCHLP-UHFFFAOYSA
CC(=O)ON(OCC1=CC=CC=C1)C(=O)C1=CC=CC=C1,-,R277030,M14787,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WMRIUQRPGNNURG-UHFFFAOYSA
COC1=CC=C([C@H](OC(C)=O)C=C)C2=C1C=CC=C2,-,R277031,M119799,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KVDKMCOTAUKHLC-OAHLLOKOSA
C1C=CC2=C1C=CC1=C2C2=C(C=CC=C2)C=C1,-,R277032,M120300,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YMROFIDYOYMCOT-UHFFFAOYSA
OC1=CC=C(C=C1N(=O)=O)C1=CC=CC(=C1O)N(=O)=O,-,R277033,M15025,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,AMJPOSPVYFVPOR-UHFFFAOYSA
NC1=CC=C(C=C1)C1=CC=CC=C1,-,R277034,M2097,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DMVOXQPQNTYEKQ-UHFFFAOYSA
CCC1=C2C3OC3C3=CC=CC=C3C2=CC2=C1C=CC=C2,-,R277035,M131123,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YTAFSLWPIWFEGM-UHFFFAOYSA
OC(CN=[N]#N)C1=CC=CC=C1,-,R277036,M131124,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MALKRPRQNKEVSK-UHFFFAOYSA
CC(C)Br,-,R277037,M7154,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,NAMYKGVDVNBCFQ-UHFFFAOYSA
O=N(=O)C1=CC=C(SC#N)C(=C1)N(=O)=O,-,R277038,M25433,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XQDQRCRASHAZBA-UHFFFAOYSA
CC1=NC=C(N1CCO)N(=O)=O,-,R277039,M11519,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VAOCPAMSLUNLGC-UHFFFAOYSA
NC(CCC(=O)N(CC(O)=O)C(=O)C(N)CSN=O)C(O)=O,-,R277040,M131125,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MDSCDNMPYLYCRJ-UHFFFAOYSA
NC(=O)N(C1=CC=CC=C1)C1=CC=CC=C1,-,R277041,M22279,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XKAFKUGMXFMRCC-UHFFFAOYSA
ONC1=CC=CC2=C1C=CC=C2,-,R277042,M120629,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CWFINLADSFPMHF-UHFFFAOYSA
OC1C2OC2C2=C(C=CC3=NC4=C(C=C23)C2=C(C=CC=C2)C=C4)C1O,-,R277043,M131126,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PIJVASQAQLIDRI-UHFFFAOYSA
C=CC(=O)OC[C@H]1CO1,-,R277044,M120999,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RPQRDASANLAFCM-RXMQYKEDSA
O=NC1=CC=C2C=CC3=C4C(C=CC1=C24)=C1C=CC=CC1=C3,-,R277045,M120107,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WIAULBKJEJHCOJ-UHFFFAOYSA
CCCCCCC1=CC=C(C=C1)C1=CC=C(C=C1)C#N,-,R277046,M87264,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,VADSDVGLFDVIMG-UHFFFAOYSA
OC(=O)C1CSC(N1C(=O)CCS)C1=CC=CC=C1O,-,R277047,M131127,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BSHDUMDXSRLRBI-UHFFFAOYSA
CC1=CC(C)(C)NC2=CC=CC=C12,-,R277048,M19661,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZNRLMGFXSPUZNR-UHFFFAOYSA
CCCCCCCCCCCCCC(O)=O,-,R277049,M10792,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,TUNFSRHWOTWDNC-UHFFFAOYSA
C[C@H]1C(C)(C)C2=C(C=C3[C@H](C)OCCC3=C2)C1(C)C,-,R277050,M121262,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,YWMTVUUYOAIDBC-RYUDHWBXSA
CN(N=O)C(=O)C1=CC=CC=C1,-,R277051,M62077,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SLTNUKIKMOOUID-UHFFFAOYSA
CC[C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@@H](O)[C@H](C)O2)C2=C(O)C3=C(C=C2[C@H]1C(=O)OC)C(=O)C1=C(O)C=CC(O)=C1C3=O,-,R277052,M119824,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FPLFMMYMWKRIFA-UTPIQSGESA
CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C3=CC=C(O)C=C3)C(F)=C12,-,R277053,M131128,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MYERGISJXHBTKE-UHFFFAOYSA
NC(=O)N(C1=CC=CC=C1)C1=CC=C(C=C1)C(O)=O,-,R277054,M131129,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XVUSKMFUTWIAKL-UHFFFAOYSA
OCCN(CCO)C1=CC=C(N=NC2=C(Cl)C=C(C=C2Cl)N(=O)=O)C(Cl)=C1,-,R277055,M131130,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,HXXLWTPFYWMBSC-UHFFFAOYSA
COC1=CC=C2C(=O)C3=C(OC)C(OC)=CC4=C3C(=NC=C4)C2=C1,-,R277056,M120813,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KJMKAWHFLAYVBS-UHFFFAOYSA
CC1=CC=CC2=C1C=CC1=C2C=CC2=C1C=CC=C2,-,R277057,M28137,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LQKGSLMFGWWLIU-UHFFFAOYSA
CN1C(N)=NC2=C1C=C(C)C1=NC(C)=CN=C21,-,R277058,M120112,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SNMBQVDTTQLUAP-UHFFFAOYSA
OC1=CC=CC2=C1C=CC=N2,-,R277059,M3602,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GYESAYHWISMZOK-UHFFFAOYSA
OC1=CC2=C3C(C=CC4=C5C=CC=CC5=CC1=C34)=CC=C2,-,R277060,M131131,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZQOKZAPJXRMEJW-UHFFFAOYSA
CN(C)CCNC(=O)C1=CC=CC2=C1OC(=C2)C1=CC=CC=C1,-,R277061,M131132,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CWXUUUREGLBAQA-UHFFFAOYSA
O=C1OC2=CC=C(C3=C2C2=C(C=CC=C12)C=C3)N(=O)=O,-,R277062,M131133,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WAKRBKMZTCRERT-UHFFFAOYSA
CC(=C)C1=CC=C(C)C2=CC=C(CO)C2=C1,-,R277063,M120091,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UELYVRHCROBZCL-UHFFFAOYSA
CC(C)[C@H]1CC[C@H](C)CC1,-,R277064,M121343,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CFJYNSNXFXLKNS-MGCOHNPYSA
O=C1C(=O)C2=CC=CC=C2C2=CC=CC=C12,-,R277065,M13931,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,YYVYAPXYZVYDHN-UHFFFAOYSA
CC(=O)NC1=CC=C2C(=O)C(=O)C3=CC=CC4=C3C2=C1C=C4,-,R277066,M120296,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IKVXMGABJCJXTD-UHFFFAOYSA
CC(C)(C)C1=CC(=CC=C1NO)C1=CC=CC=C1,-,R277067,M14877,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YJQJOONVCZZDPE-UHFFFAOYSA
O\N=C\C1=CC=CC=N1,-,R277068,M51668,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MTFJSAGADRTKCI-VMPITWQZSA
CC(=O)OCN(CCCCCl)N=O,-,R277069,M14886,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UWZYBQXLLFWIQG-UHFFFAOYSA
COC1=CC2=C([C@@H]3C=CO[C@@H]3O2)C2=C1C1=C([C@@H](O)C[C@@H]1O)C(=O)O2,-,R277070,M131134,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DXHISSPCCTYLIS-YJEFXEGGSA
CNC(=O)OC1=CC=CC2=C1C=CC=C2,-,R277071,M1690,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CVXBEEMKQHEXEN-UHFFFAOYSA
CC1=CC(N)=CC(=C1N)N(=O)=O,-,R277072,M131135,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,WJADKDGCBYAUMT-UHFFFAOYSA
ClCC1=CC=C2C=CC3=C4C(C=CC1=C24)=C1C=CC=CC1=C3,-,R277073,M120012,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,WWTKOCFTVBUGIJ-UHFFFAOYSA
CCCCSCCC(N)C(O)=O,-,R276974,M14758,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LAXXPOJCFVMVAX-UHFFFAOYSA
CC1=CC=C2C(=O)C3=CC=CC=C3C(=O)C2=C1N,-,R276975,M17667,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZLCUIOWQYBYEBG-UHFFFAOYSA
OC1=C(C=C(C2=C1C=C(C=C2)S(O)(=O)=O)N(=O)=O)N(=O)=O,-,R276976,M51550,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FCQJEPASRCXVCB-UHFFFAOYSA
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=C(C=CS2)S1(=O)=O,-,R276977,M6588,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LZNWYQJJBLGYLT-UHFFFAOYSA
CCN(CC)C1=CC=C2C(OC3=CC(C=CC3=C2C2=CC=C(C=C2S(O)(=O)=O)S(O)(=O)=O)=[N+](CC)CC)=C1,-,R276978,M71585,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,IOOMXAQUNPWDLL-UHFFFAOYSA
CCC1(OC1(C(N)=O)C(=O)OC)C(C)O,-,R276979,M14914,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LZSSMVFMSDPHCN-UHFFFAOYSA
NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,-,R276980,M6950,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MQJKPEGWNLWLTK-UHFFFAOYSA
OC1=CC=C2C(CC3=CC(=CC=C23)N(=O)=O)=C1,-,R276981,M131110,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VFTOHJFKIJLYKN-UHFFFAOYSA
NC1=CC=C(N=NC2=CC=C(C=C2)N=NC2=C(N)C3=C(C=C2S(O)(=O)=O)C=C(C(N=NC2=CC=C(C=C2)N=NC2=CC=C(N)C=C2N)=C3O)S(O)(=O)=O)C(N)=C1,-,R276982,M120663,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YILRCDLYJGTFTH-UHFFFAOYSA
OC1C(O)C2=CC=C(C3=C2C2=C(C=CC=C12)C=C3)N(=O)=O,-,R276983,M131111,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OLIXQTVIIHUWKL-UHFFFAOYSA
CC1=NC2=C(N1)C=CC1=C2C2=C(C=CC(O)=C2)C=C1,-,R276984,M131112,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ITGZYPQCNIMBRB-UHFFFAOYSA
O1C2=C(C=CC=C2)N=C1C1=CC=CC=C1,-,R276985,M23791,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FIISKTXZUZBTRC-UHFFFAOYSA
CC(C)ON(OC(C)=O)C(=O)C1=CC=CC=C1,-,R276986,M14807,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GKNMRKKWVRAAOW-UHFFFAOYSA
CC(C)C1=CC(=CC=C1N)C1=CC=CC=C1,-,R276987,M14865,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UZRBMLVHWQLFQF-UHFFFAOYSA
ClCC1=CC2=C3C(C=CC4=C3C1=C1C=CC=CC1=C4)=CC=C2,-,R276988,M120849,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YNFWZKLFAYROMP-UHFFFAOYSA
COC1=CC(=O)C2=C(N=C(C)C3=C2NC2=C3C=CC=C2)C1=O,-,R276989,M120095,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GYJVJVCHHDSELE-UHFFFAOYSA
NC1=CC2=C(C=C1N(=O)=O)C1=C(N2)C=CC=C1,-,R276990,M120798,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YWXUPCLUXSCTOD-UHFFFAOYSA
CCS,-,R276991,M2109,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,DNJIEGIFACGWOD-UHFFFAOYSA
FC(F)(Cl)Br,-,R276992,M20150,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,MEXUFEQDCXZEON-UHFFFAOYSA
N#[N]=NCC1=CC=CC=C1,-,R276993,M22701,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UDLLFLQFQMACJB-UHFFFAOYSA
CN1C2=C(C=CC=C2)C2=C1C=CC=C2,-,R276994,M25227,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,SDFLTYHTFPTIGX-UHFFFAOYSA
CC\C=C/C#N,-,R276995,M53486,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ISBHMJZRKAFTGE-ARJAWSKDSA
O=NC1=CC=C2C=CC3=C4C(C=CC1=C24)=CC1=C3CCCC1,-,R276996,M120184,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,BQARVUKCXRAJKO-UHFFFAOYSA
COC1=CC2=C(C=C1OC)[C@H]1[C@H](CO2)OC2=C3C[C@H](OC3=CC=C2C1=O)C(C)=C,-,R276997,M131113,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JUVIOZPCNVVQFO-NDXORKPFSA
OCC1=CC=C2C(=C1)C1=CC=CC3=CC=CC2=C13,-,R276998,M120187,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,FILGBJILVWQQMH-UHFFFAOYSA
COC(=O)CCCC(=O)OC,-,R276999,M13223,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XTDYIOOONNVFMA-UHFFFAOYSA
NC(=N)C1=CC=CC=C1,-,R277000,M25566,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PXXJHWLDUBFPOL-UHFFFAOYSA
CN(C)C1=CC=C2C(C=CC(\C=C\C3=C(C)N(C(C)=C3)C3=CC=CC=C3)=[N+]2C)=C1,-,R277001,M59905,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QMHSXPLYMTVAMK-UHFFFAOYSA
BrN1C(=O)CCC1=O,-,R277002,M19298,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PCLIMKBDDGJMGD-UHFFFAOYSA
CN1C2=CC=C3OCCOCCOCCOCCOCCOCCOC4=CC=C1C(=C4)C(=S)C2=C3,-,R277003,M131114,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,HHNJBDDZFYZPLE-UHFFFAOYSA
CNC(=O)NO,-,R277004,M120737,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CMOKUAFPPCEHHF-UHFFFAOYSA
CC1=CC=C(C(=C1)C(O)=O)N(=O)=O,-,R277005,M72408,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QRRSIFNWHCKMSW-UHFFFAOYSA
O=N(=O)C1=CC=C(OC2CO2)C=C1,-,R277006,M131115,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LCDJFVGAKJGCGB-UHFFFAOYSA
NCCS(O)(=O)=O,-,R277007,M18600,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,XOAAWQZATWQOTB-UHFFFAOYSA
NC1=CC=CC=C1S(O)(=O)=O,-,R277008,M17875,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,ZMCHBSMFKQYNKA-UHFFFAOYSA
O[N+]1=CC2=C(C=CC=N2)C=N1,-,R277009,M131116,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,NOPUQMVWPALOHY-UHFFFAOYSA
CC1=CC=C2C(=C1)C1=C3C2=C2C=CC=CC2=CC3=C2C=CC=CC2=C1,-,R277010,M120235,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,XYMGVEWHYUINOJ-UHFFFAOYSA
CC1=CC=C2C(C=CC3=C2C=C2C=CC=CC2=C3)=C1,-,R277011,M26993,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,VYZKVUIQCRWXJH-UHFFFAOYSA
CN(C)N,-,R277012,M17163,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RHUYHJGZWVXEHW-UHFFFAOYSA
C1C2=CC=CC=C2C2=C1C=CC1=C2C2=C(C=CC=C2)C=C1,-,R277013,M131117,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,FMBIUNYFMCJJEE-UHFFFAOYSA
C1=CC=C2C=NC=CC2=C1,-,R277014,M536,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,AWJUIBRHMBBTKR-UHFFFAOYSA
O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,-,R277015,M1648,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,CULUWZNBISUWAS-UHFFFAOYSA
CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC,-,R277016,M19564,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PUYRISKXBBQECH-UHFFFAOYSA
NC1=CC=CC(=C1)S(O)(=O)=O,-,R277017,M19090,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,ZAJAQTYSTDTMCU-UHFFFAOYSA
O=N(=O)C1=CC=C2C=CCC2=C1,-,R277018,M131118,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,UJHGOFSFBKXJNM-UHFFFAOYSA
OC(=O)CCN=[N]#N,-,R277019,M131119,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YIPVUXAMZQBALD-UHFFFAOYSA
OC1=CC=C2C=CC=CC2=C1N=NC1=CC=C(C2=CC=C(C=C2S(O)(=O)=O)N=NC2=C(O)C=CC3=C2C=CC=C3)C(=C1)S(O)(=O)=O,-,R277020,M119744,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,CPERTUHFXCKOES-UHFFFAOYSA
OC1C2OC2C2=C(C1O)C1=C(C=C2)C2=C(C=CC=C2)C=C1,-,R277021,M131120,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,LLBQOVSJZWEDIE-UHFFFAOYSA
CC(C)(C)NCC(O)COC1=CC=C(O)C=C1C1CCCC1,-,R277022,M131121,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,PYXBIIXXYVBVLU-UHFFFAOYSA
CCCCC(S)(CCC)CCCC,-,R277023,M36310,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,BGQHJKADBZPYGJ-UHFFFAOYSA
CC1=CC=C(C(=C1)N(=O)=O)N(=O)=O,-,R276924,M4535,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,INYDMNPNDHRJQJ-UHFFFAOYSA
CC(=O)CC(C)(C)NC(=O)C=C,-,R276925,M27517,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,OMNKZBIFPJNNIO-UHFFFAOYSA
CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12,-,R276926,M4554,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,IOUNQDKNJZEDEP-UHFFFAOYSA
CCOP(C)(=O)SCCN(C(C)C)C(C)C,-,R276927,M39732,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,JJIUCEJQJXNMHV-UHFFFAOYSA
COC1=CC(CNC(=O)C(C)Br)=CC=C1O,-,R276928,M131096,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,KFIAYICKDDJYET-UHFFFAOYSA
CN1CSC(=S)N(C)C1,-,R276929,M8985,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QAYICIQNSGETAS-UHFFFAOYSA
CC1=C(C=CC=C1N(=O)=O)N=[N+](O)C1=CC=CC(=C1C)N(=O)=O,-,R276930,M131097,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UGCQRFPJNFTYTC-UHFFFAOYSA
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,-,R276931,M11220,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,UOAMTSKGCBMZTC-UHFFFAOYSA
C=CCN(CC=C)N=O,-,R276932,M33825,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,GRYFJBRXMFVEIL-UHFFFAOYSA
OCC1=CC=C(F)C=C1,-,R276933,M20526,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,GEZMEIHVFSWOCA-UHFFFAOYSA
COC1=CC(Cl)=C(OC)C=C1Cl,-,R276934,M8511,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PFIADAMVCJPXSF-UHFFFAOYSA
CN(C)CCN(C)C,-,R276935,M5944,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KWYHDKDOAIKMQN-UHFFFAOYSA
OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=C(Br)C(Br)=C(Br)C(Br)=C12)C1=CC(Br)=C(O)C(Br)=C1,-,R276936,M74235,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,QPMIVFWZGPTDPN-UHFFFAOYSA
NCC(=O)NC1=CC=CC=C1,-,R276937,M66910,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,QRKJNCRCYBKANP-UHFFFAOYSA
O[C@H]1C=CC2=C(C=CC3=C2C=C2C=CC=C4C=CC3=C24)[C@@H]1O,-,R276938,M120841,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,MCTIAYJEJOIBHA-ICSRJNTNSA
N#CC1=CC(=CC=C1)C#N,-,R276939,M22816,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,LAQPNDIUHRHNCV-UHFFFAOYSA
O(C1=CC=CC=C1)C1=CC=CC=C1,-,R276940,M11338,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,USIUVYZYUHIAEV-UHFFFAOYSA
O=N(=O)C1=CC=C2NC=CC2=C1,-,R276941,M52435,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OZFPSOBLQZPIAV-UHFFFAOYSA
CC(C)CC(NC(=O)COC1=CC(Cl)=C(Cl)C=C1Cl)C(O)=O,-,R276942,M131098,-,A18726,-,-,inactive,Train,S. typhimurium,unspecified,-,KSWCEGPKEFBTOX-UHFFFAOYSA
NC1=CC=C(C=C1)C1=CC=C(N)C(=C1)N(=O)=O,-,R276943,M26553,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,OESUYYFUIPUBIV-UHFFFAOYSA
CC1=C(C=CC=C1N=C=O)N=C=O,-,R276944,M17969,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,RUELTTOHQODFPA-UHFFFAOYSA
OCC1=CC=C2C=CC3=C4C(C=CC1=C24)=CC=C3,-,R276945,M120369,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,NGDMLQSGYUCLDC-UHFFFAOYSA
ClCC1=CC=CC2=C1C1=C3C(C=CC4=C3C(C=C1)=CC=C4)=C2,-,R276946,M120801,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,PNZXMMLNLREHOK-UHFFFAOYSA
C1=CC2=C(C=C1)C1=CC3=CC=CC=C3C=C1C=C2,-,R276947,M2353,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,DXBHBZVCASKNBY-UHFFFAOYSA
O=N(=O)C1=CC=CC2=C1C1=C(C=CC=C1)C=C2N(=O)=O,-,R276948,M131099,-,A18726,-,-,active,Train,S. typhimurium,unspecified,-,YHVOTWPHPQKOQL-UHFFFAOYSA
